,#Type,TimeGet,TimeStamp,Index,Hour,Min,Sec,Latitude,Longitude,BAlt,MeasuredFL,GroudSpeed,TrackAngle,Mode3A,ModeSIdent,TimeOfDay,TrackNo,X(m),Y(m),SpeedX(m/s),SpeedY(m/s),VRate(m/s),AccelX(m/s2),AccelY(m/s2),SAC,SIC,CODE,FDPCallSign,ops,dir,rwy,dist,ac,rot1,rot2
529,MLAT,2019-12-21 17:00:40.274552,2019.12.21 17:00:40.274552,135,17,0,40,37.46966064,126.44713819,-83.0,93,89.382954,325.598772,4115,VJC839,61240,1729,705.0,794.5,-50.5,73.75,----,----,----,116,101,888156,----,departure,north,33L,2100.4,C,2019-12-21 16:59:26.684728,2019-12-21 17:00:58.536696
1728,MLAT,2019-12-21 16:48:18.274552,2019.12.21 16:48:18.274552,16826,16,48,18,37.46981621,126.44699335,-83.0,97,85.018013,325.422059,4120,VJC975,60498,2047,692.5,812.0,-48.25,70.0,----,----,----,116,101,8880F4,----,departure,north,33L,2121.9,C,2019-12-21 16:47:14.422584,2019-12-21 16:48:38.323128
652,MLAT,2019-12-21 17:11:40.536696,2019.12.21 17:11:40.536696,2357,17,11,40,37.47423112,126.44305587,-83.0,----,89.715174,324.183919,7117,CEB187,61900,258,344.0,1302.0,-52.5,72.75,----,----,----,116,101,758433,----,departure,north,33L,2723.3999999999996,A,2019-12-21 17:10:29.422584,2019-12-21 17:11:51.798840
61,MLAT,2019-12-21 17:17:54.684728,2019.12.21 17:17:54.684728,3980,17,17,54,37.47292757,126.44424677,-83.0,120,94.662889,325.218716,7451,GEC8385,62274,1124,449.0,1157.0,-54.0,77.75,----,----,----,116,101,3C70C4,----,departure,north,33L,2544.2999999999997,A,2019-12-21 17:16:52.684728,2019-12-21 17:18:08.323128
724,MLAT,2019-12-21 18:48:51.684728,2019.12.21 18:48:51.684728,27201,18,48,51,37.46727347,126.44928396,-68.0,137,79.752743,325.213973,4171,CKK258,67731,1770,895.0,530.0,-45.5,65.5,----,----,----,116,101,78029E,----,departure,north,33L,1774.4,A,2019-12-21 18:47:47.422584,2019-12-21 18:49:16.798840
825,MLAT,2019-12-21 21:01:20.274552,2019.12.21 21:01:20.274552,1371,21,1,20,37.46640444,126.45004034,-68.0,102,84.659982,144.009945,4167,BAV493,75680,1218,962.0,433.5,49.75,-68.5,----,----,----,116,101,88817A,----,departure,south,15L,2136.5,C,2019-12-21 20:59:35.274552,2019-12-21 21:01:40.798840
83,MLAT,2019-12-21 21:15:42.798840,2019.12.21 21:15:42.798840,17782,21,15,42,37.46820688,126.44842029,-68.0,91,76.987418,144.916526,4317,JJA1162,76542,2015,818.5,633.5,44.25,-63.0,----,----,----,116,101,71C301,----,departure,south,15L,1895.8,C,2019-12-21 21:14:30.323128,2019-12-21 21:16:07.798840
1118,MLAT,2019-12-21 20:21:34.684728,2019.12.21 20:21:34.684728,18204,20,21,34,37.47018635,126.44666612,-68.0,112,90.731747,324.645844,7114,PAC225,73294,408,663.5,853.0,-52.5,74.0,----,----,----,116,101,A87108,----,departure,north,33L,2172.2000000000003,B,2019-12-21 20:20:37.422584,2019-12-21 20:21:53.323128
1122,MLAT,2019-12-21 20:58:25.684728,2019.12.21 20:58:25.684728,54303,20,58,25,37.46191978,126.45401537,-68.0,120,91.225339,144.480575,4316,UPS99,75505,1972,1313.5,-64.0,53.0,-74.25,----,----,----,116,101,A75039,----,departure,south,15L,2737.5,A,2019-12-21 20:55:14.274552,2019-12-21 20:58:37.012408
115,MLAT,2019-12-21 21:59:33.798840,2019.12.21 21:59:33.798840,89859,21,59,33,37.47078717,126.44610286,-76.0,118,75.594725,145.101118,5042,AAR8533,79173,1670,614.0,920.0,43.25,-62.0,----,----,----,116,101,71BF37,----,departure,south,15L,1554.3,C,2019-12-21 21:58:40.060984,2019-12-21 22:00:04.274552
